config_id,status,config.n_layers,config.n_units,config.preprocessor,config.smooth,config.smote,config.ultrasample,config.wfo,metadata.time_end,metadata.time_sampled,result.loss,result.info_dict.test_score,result.info_dict.train_time
30,complete,3.0,4.0,maxabs,False,False,True,True,1731291953.057569,1731291949.5868318,-0.9397590361445783,0.9397590361445783,3.4688141345977783
23,complete,3.0,4.0,standardize,False,False,True,True,1731291918.184705,1731291912.920596,-0.9397590361445783,0.9397590361445783,5.262188196182251
26,complete,3.0,4.0,standardize,False,True,True,True,1731291935.4027562,1731291929.529006,-0.9393939393939394,0.9393939393939394,5.871827840805054
25,complete,2.0,4.0,standardize,True,True,True,True,1731291929.401619,1731291923.790616,-0.9333333333333333,0.9333333333333333,5.60896897315979
24,complete,2.0,5.0,standardize,True,False,True,True,1731291923.663139,1731291918.3163068,-0.917057902973396,0.917057902973396,5.344900131225586
28,complete,3.0,3.0,standardize,True,True,True,False,1731291944.237678,1731291939.5570319,-0.8899835796387521,0.8899835796387521,4.6785569190979
27,complete,3.0,4.0,minmax,True,True,True,True,1731291939.428837,1731291935.530485,-0.3989769820971867,0.3989769820971867,3.8963887691497803
17,complete,3.0,5.0,standardize,False,False,False,True,1731291905.648061,1731291904.360652,-0.20408163265306123,0.20408163265306123,1.28535795211792
14,complete,3.0,4.0,normalize,False,False,False,True,1731291901.395547,1731291900.093877,-0.20408163265306123,0.20408163265306123,1.299839973449707
18,complete,3.0,2.0,minmax,False,False,False,True,1731291907.048563,1731291905.7719822,-0.20408163265306123,0.20408163265306123,1.2745459079742432
10,complete,3.0,5.0,normalize,False,False,False,True,1731291895.133877,1731291893.8753011,-0.20408163265306123,0.20408163265306123,1.2570419311523438
20,complete,4.0,3.0,maxabs,True,False,False,True,1731291909.917411,1731291908.576331,-0.20408163265306123,0.20408163265306123,1.3390991687774658
15,complete,3.0,5.0,robust,False,False,False,True,1731291902.8177521,1731291901.517021,-0.20408163265306123,0.20408163265306123,1.2989091873168945
19,complete,3.0,4.0,standardize,True,False,False,True,1731291908.452359,1731291907.17244,-0.20408163265306123,0.20408163265306123,1.2779788970947266
21,complete,4.0,4.0,minmax,True,False,False,True,1731291911.367552,1731291910.042495,-0.20408163265306123,0.20408163265306123,1.323030710220337
22,complete,3.0,5.0,robust,True,False,False,True,1731291912.7928991,1731291911.4927921,-0.20408163265306123,0.20408163265306123,1.2981741428375244
16,complete,3.0,4.0,maxabs,False,False,False,True,1731291904.2389581,1731291902.939714,-0.20408163265306123,0.20408163265306123,1.2972700595855713
9,complete,5.0,6.0,normalize,False,True,False,False,1731291893.8715699,1731291892.6615481,-0.1746031746031746,0.1746031746031746,1.2084641456604004
12,complete,3.0,5.0,standardize,False,True,False,False,1731291898.757709,1731291897.6665332,-0.13145539906103287,0.13145539906103287,1.0893371105194092
1,complete,3.0,4.0,standardize,False,True,False,True,1731291883.937866,1731291882.106951,-0.08333333333333333,0.08333333333333333,1.8279547691345215
11,complete,2.0,4.0,normalize,False,True,False,True,1731291897.544051,1731291896.134457,-0.0,0.0,1.4060649871826172
29,complete,3.0,3.0,standardize,False,True,True,False,1731291949.457773,1731291944.3692029,-0.0,0.0,5.086405277252197
5,complete,3.0,2.0,normalize,False,False,False,False,1731291889.571682,1731291888.5196328,-0.0,0.0,1.050537347793579
4,complete,2.0,6.0,minmax,False,False,False,False,1731291888.516844,1731291887.512308,-0.0,0.0,1.0030291080474854
13,complete,5.0,6.0,normalize,False,False,False,False,1731291899.970201,1731291898.877434,-0.0,0.0,1.0908081531524658
8,complete,2.0,6.0,normalize,True,False,False,False,1731291892.658208,1731291891.642396,-0.0,0.0,1.0143132209777832
6,complete,2.0,6.0,maxabs,False,False,False,False,1731291890.562722,1731291889.574561,-0.0,0.0,0.9866602420806885
7,complete,5.0,2.0,maxabs,False,False,False,False,1731291891.639352,1731291890.56597,-0.0,0.0,1.07179594039917
2,complete,4.0,6.0,normalize,False,False,True,False,1731291886.501725,1731291884.00484,-0.0,0.0,2.495147943496704
3,complete,2.0,5.0,standardize,False,False,False,False,1731291887.509224,1731291886.50464,-0.0,0.0,1.0030779838562012
