config_id,status,config.n_layers,config.n_units,config.preprocessor,config.smooth,config.smote,config.ultrasample,config.wfo,metadata.time_end,metadata.time_sampled,result.loss,result.info_dict.test_score,result.info_dict.train_time
17,complete,3.0,4.0,robust,False,False,False,False,1731291975.540344,1731291974.439452,-0.7490774907749077,0.7490774907749077,1.0989179611206055
3,complete,2.0,2.0,normalize,False,False,False,False,1731291956.359387,1731291955.311838,-0.7476979742173112,0.7476979742173112,1.046064853668213
21,complete,3.0,2.0,minmax,False,False,False,False,1731291980.469516,1731291979.3569028,-0.7476979742173112,0.7476979742173112,1.1106600761413574
26,complete,4.0,2.0,maxabs,False,False,False,False,1731291986.597588,1731291985.480052,-0.7476979742173112,0.7476979742173112,1.1155130863189697
20,complete,3.0,4.0,normalize,False,False,False,False,1731291979.2327979,1731291978.1430242,-0.7476979742173112,0.7476979742173112,1.0877668857574463
16,complete,4.0,6.0,minmax,False,False,False,False,1731291974.3144572,1731291973.1358259,-0.7476979742173112,0.7476979742173112,1.176548957824707
5,complete,2.0,6.0,normalize,False,False,False,False,1731291959.825511,1731291958.7862751,-0.7476979742173112,0.7476979742173112,1.0377228260040283
14,complete,5.0,4.0,maxabs,False,False,False,False,1731291971.801868,1731291970.653237,-0.7476979742173112,0.7476979742173112,1.1466691493988037
13,complete,3.0,2.0,normalize,False,False,False,False,1731291970.532846,1731291969.440347,-0.7476979742173112,0.7476979742173112,1.090507984161377
25,complete,4.0,4.0,minmax,False,False,False,False,1731291985.3530838,1731291984.222908,-0.7476979742173112,0.7476979742173112,1.1282989978790283
10,complete,4.0,6.0,maxabs,False,False,False,False,1731291966.57389,1731291965.4643662,-0.7476979742173112,0.7476979742173112,1.108039140701294
23,complete,2.0,2.0,maxabs,False,False,False,False,1731291982.886285,1731291981.820076,-0.7476979742173112,0.7476979742173112,1.0642931461334229
12,complete,4.0,4.0,normalize,True,False,False,False,1731291969.3191009,1731291968.180065,-0.7476979742173112,0.7476979742173112,1.1370508670806885
15,complete,3.0,4.0,minmax,False,False,False,False,1731291973.011041,1731291971.926035,-0.7476979742173112,0.7476979742173112,1.0830860137939453
6,complete,4.0,3.0,maxabs,False,False,False,False,1731291960.939926,1731291959.828789,-0.7476979742173112,0.7476979742173112,1.109691858291626
22,complete,3.0,4.0,maxabs,False,False,False,False,1731291981.694713,1731291980.594573,-0.7476979742173112,0.7476979742173112,1.0980749130249023
7,complete,4.0,4.0,normalize,False,False,False,False,1731291962.054542,1731291960.943241,-0.7406015037593985,0.7406015037593985,1.1098110675811768
30,complete,3.0,4.0,normalize,False,False,False,False,1731291994.7666402,1731291993.6691,-0.7261904761904762,0.7261904761904762,1.0955612659454346
24,complete,3.0,4.0,normalize,False,False,False,False,1731291984.097431,1731291983.012375,-0.6939655172413793,0.6939655172413793,1.083094835281372
8,complete,3.0,5.0,maxabs,False,False,False,False,1731291963.129693,1731291962.057823,-0.6185567010309279,0.6185567010309279,1.0704138278961182
29,complete,2.0,4.0,maxabs,False,False,False,False,1731291993.541645,1731291992.474517,-0.6098901098901099,0.6098901098901099,1.065129041671753
19,complete,4.0,3.0,robust,False,False,False,False,1731291978.019373,1731291976.888435,-0.5950920245398773,0.5950920245398773,1.129122018814087
27,complete,4.0,4.0,normalize,True,True,True,False,1731291989.543741,1731291986.727221,-0.5744234800838575,0.5744234800838575,2.814410924911499
28,complete,3.0,4.0,maxabs,False,False,True,False,1731291992.3467891,1731291989.671345,-0.5744234800838575,0.5744234800838575,2.6736581325531006
9,complete,4.0,4.0,normalize,False,False,True,False,1731291965.4608681,1731291963.1328719,-0.5744234800838575,0.5744234800838575,2.3265559673309326
4,complete,3.0,3.0,normalize,False,True,True,False,1731291958.78302,1731291956.362735,-0.5617021276595745,0.5617021276595745,2.418869972229004
1,complete,2.0,3.0,normalize,False,True,False,False,1731291954.214953,1731291953.121632,-0.37542662116040953,0.37542662116040953,1.0913569927215576
18,complete,3.0,4.0,robust,True,False,False,False,1731291976.7640908,1731291975.666207,-0.0944206008583691,0.0944206008583691,1.0956239700317383
2,complete,3.0,5.0,standardize,False,True,False,False,1731291955.308464,1731291954.2178261,-0.00975609756097561,0.00975609756097561,1.0892658233642578
11,complete,3.0,4.0,normalize,False,False,False,True,1731291968.060098,1731291966.69294,-0.0,0.0,1.3651819229125977
