config_id,status,config.n_layers,config.n_units,config.preprocessor,config.smooth,config.smote,config.ultrasample,config.wfo,metadata.time_end,metadata.time_sampled,result.loss,result.info_dict.test_score,result.info_dict.train_time
28,complete,3.0,5.0,standardize,True,True,True,False,1731292163.0606751,1731292158.307345,-0.7981220657276995,0.7981220657276995,4.75117301940918
21,complete,3.0,4.0,standardize,False,False,True,True,1731292146.848683,1731292141.8991082,-0.7981220657276995,0.7981220657276995,4.94763708114624
19,complete,2.0,5.0,maxabs,True,False,True,True,1731292140.251931,1731292136.665717,-0.7981220657276995,0.7981220657276995,3.584287166595459
15,complete,3.0,4.0,minmax,False,False,True,True,1731292126.107588,1731292122.296842,-0.7981220657276995,0.7981220657276995,3.808561086654663
12,complete,2.0,4.0,normalize,True,False,True,True,1731292111.341797,1731292108.1103108,-0.7981220657276995,0.7981220657276995,3.2295279502868652
23,complete,3.0,5.0,maxabs,False,False,True,True,1731292152.143326,1731292148.320808,-0.7981220657276995,0.7981220657276995,3.8188490867614746
2,complete,4.0,3.0,normalize,False,False,True,True,1731292090.191987,1731292086.938426,-0.7981220657276995,0.7981220657276995,3.252124786376953
18,complete,2.0,5.0,standardize,True,False,True,True,1731292136.533525,1731292131.541673,-0.7981220657276995,0.7981220657276995,4.989668846130371
13,complete,3.0,4.0,robust,False,False,True,True,1731292117.1062112,1731292111.506314,-0.7981220657276995,0.7981220657276995,5.5981199741363525
14,complete,3.0,3.0,robust,True,False,True,True,1731292122.173772,1731292117.247021,-0.7981220657276995,0.7981220657276995,4.924808979034424
17,complete,2.0,6.0,minmax,True,False,True,True,1731292131.412373,1731292127.7415512,-0.7981220657276995,0.7981220657276995,3.669090986251831
29,complete,2.0,5.0,normalize,True,True,True,False,1731292165.8147972,1731292163.204895,-0.7313432835820896,0.7313432835820896,2.607944965362549
30,complete,4.0,4.0,minmax,True,True,True,False,1731292168.6523561,1731292165.950457,-0.6707317073170732,0.6707317073170732,2.6998658180236816
10,complete,3.0,2.0,standardize,True,True,False,False,1731292106.503139,1731292105.3565838,-0.5029239766081871,0.5029239766081871,1.1451289653778076
11,complete,3.0,4.0,normalize,True,False,False,True,1731292107.962046,1731292106.626213,-0.5029239766081871,0.5029239766081871,1.3340437412261963
20,complete,3.0,4.0,robust,False,False,False,True,1731292141.763968,1731292140.384136,-0.5029239766081871,0.5029239766081871,1.3779230117797852
16,complete,4.0,4.0,minmax,False,False,False,True,1731292127.619642,1731292126.2315369,-0.5029239766081871,0.5029239766081871,1.3861291408538818
24,complete,3.0,4.0,maxabs,True,False,False,True,1731292153.669742,1731292152.3027241,-0.5029239766081871,0.5029239766081871,1.3648040294647217
27,complete,2.0,4.0,maxabs,False,False,False,True,1731292158.140162,1731292156.8232682,-0.5029239766081871,0.5029239766081871,1.3150551319122314
5,complete,2.0,5.0,standardize,False,False,False,True,1731292096.706843,1731292095.4423969,-0.4423076923076923,0.4423076923076923,1.26283597946167
22,complete,3.0,4.0,robust,True,True,False,False,1731292148.186094,1731292146.984056,-0.3157894736842105,0.3157894736842105,1.184297800064087
26,complete,3.0,3.0,minmax,True,False,False,False,1731292156.684035,1731292155.555073,-0.0,0.0,1.1268789768218994
9,complete,2.0,3.0,normalize,False,False,True,False,1731292105.353326,1731292102.8774312,-0.0,0.0,2.4742939472198486
25,complete,3.0,5.0,standardize,True,True,False,True,1731292155.410559,1731292153.859664,-0.0,0.0,1.5489249229431152
8,complete,5.0,2.0,normalize,False,False,False,False,1731292102.873993,1731292101.70461,-0.0,0.0,1.1678318977355957
6,complete,2.0,4.0,standardize,False,False,True,False,1731292100.643116,1731292096.710196,-0.0,0.0,3.9314911365509033
1,complete,3.0,3.0,standardize,False,False,False,False,1731292086.935632,1731292085.891329,-0.0,0.0,1.04262113571167
7,complete,3.0,2.0,normalize,False,False,False,False,1731292101.7014148,1731292100.646133,-0.0,0.0,1.0537710189819336
4,complete,3.0,3.0,maxabs,False,True,True,True,1731292095.439509,1731292091.217727,-0.0,0.0,4.220289945602417
3,complete,2.0,2.0,normalize,False,False,False,False,1731292091.214829,1731292090.195491,-0.0,0.0,1.0178661346435547
