config_id,status,config.n_layers,config.n_units,config.preprocessor,config.smooth,config.smote,config.ultrasample,config.wfo,metadata.time_end,metadata.time_sampled,result.loss,result.info_dict.test_score,result.info_dict.train_time
27,complete,3.0,4.0,normalize,False,False,True,False,1731292251.0335722,1731292248.104297,-0.7947368421052632,0.7947368421052632,2.9271717071533203
16,complete,3.0,3.0,minmax,True,False,True,False,1731292210.1696079,1731292207.378011,-0.7947368421052632,0.7947368421052632,2.78910493850708
17,complete,2.0,4.0,standardize,False,False,True,False,1731292214.478487,1731292210.297481,-0.7947368421052632,0.7947368421052632,4.179026126861572
14,complete,3.0,5.0,robust,False,False,True,False,1731292201.044281,1731292194.285343,-0.7947368421052632,0.7947368421052632,6.756701946258545
13,complete,3.0,3.0,minmax,False,False,True,False,1731292194.097553,1731292190.686469,-0.7947368421052632,0.7947368421052632,3.4076988697052
25,complete,3.0,3.0,normalize,False,False,True,False,1731292246.678922,1731292244.060661,-0.7947368421052632,0.7947368421052632,2.616234064102173
22,complete,3.0,4.0,normalize,False,True,True,False,1731292234.839967,1731292231.971806,-0.7947368421052632,0.7947368421052632,2.8661820888519287
18,complete,3.0,6.0,standardize,True,False,True,False,1731292219.205777,1731292214.6157062,-0.7947368421052632,0.7947368421052632,4.5879597663879395
11,complete,3.0,3.0,normalize,True,False,True,False,1731292186.572356,1731292183.1609442,-0.7947368421052632,0.7947368421052632,3.4093520641326904
12,complete,4.0,4.0,maxabs,False,False,True,False,1731292190.552354,1731292186.709964,-0.7947368421052632,0.7947368421052632,3.840269088745117
15,complete,3.0,5.0,robust,True,False,True,False,1731292207.2505631,1731292201.1872268,-0.7947368421052632,0.7947368421052632,6.061227083206177
19,complete,3.0,5.0,normalize,True,True,True,False,1731292222.360554,1731292219.3374422,-0.7947368421052632,0.7947368421052632,3.0198299884796143
30,complete,3.0,4.0,normalize,False,False,True,False,1731292259.867052,1731292257.154735,-0.7947368421052632,0.7947368421052632,2.710374116897583
21,complete,3.0,4.0,maxabs,True,False,True,False,1731292231.845044,1731292228.800456,-0.7947368421052632,0.7947368421052632,3.042551040649414
28,complete,2.0,6.0,normalize,False,False,True,False,1731292254.0623071,1731292251.1668422,-0.7947368421052632,0.7947368421052632,2.8935110569000244
7,complete,3.0,3.0,normalize,False,False,True,False,1731292179.043904,1731292175.967676,-0.7947368421052632,0.7947368421052632,3.074655294418335
29,complete,3.0,3.0,normalize,False,False,True,False,1731292257.021893,1731292254.195393,-0.7947368421052632,0.7947368421052632,2.824608564376831
3,complete,5.0,5.0,robust,False,False,False,False,1731292172.37871,1731292171.209208,-0.50814332247557,0.50814332247557,1.168071985244751
10,complete,3.0,3.0,normalize,False,False,False,False,1731292183.029516,1731292181.601307,-0.50814332247557,0.50814332247557,1.4265398979187012
4,complete,2.0,2.0,normalize,False,False,False,False,1731292173.441935,1731292172.381523,-0.50814332247557,0.50814332247557,1.0589408874511719
8,complete,2.0,3.0,normalize,False,False,False,False,1731292180.275771,1731292179.047074,-0.50814332247557,0.50814332247557,1.2269649505615234
6,complete,2.0,5.0,minmax,False,False,False,False,1731292175.9650402,1731292174.916723,-0.50814332247557,0.50814332247557,1.046525001525879
2,complete,3.0,4.0,maxabs,True,False,False,False,1731292171.206312,1731292170.09972,-0.50814332247557,0.50814332247557,1.1050848960876465
9,complete,3.0,5.0,maxabs,False,True,False,False,1731292181.598155,1731292180.278959,-0.40718562874251496,0.40718562874251496,1.3176426887512207
26,complete,4.0,4.0,normalize,True,True,False,False,1731292247.977468,1731292246.8072908,-0.3048780487804878,0.3048780487804878,1.1681883335113525
20,complete,3.0,4.0,standardize,True,True,True,False,1731292228.672928,1731292222.489467,-0.07643312101910828,0.07643312101910828,6.181534051895142
24,complete,3.0,5.0,minmax,False,True,True,False,1731292243.929865,1731292240.7578292,-0.037267080745341616,0.037267080745341616,3.1700191497802734
5,complete,2.0,4.0,normalize,False,True,False,True,1731292174.912891,1731292173.444598,-0.024390243902439025,0.024390243902439025,1.466832160949707
23,complete,3.0,4.0,robust,True,False,True,True,1731292240.630086,1731292234.968548,-0.0,0.0,5.6596150398254395
1,complete,5.0,6.0,standardize,False,False,False,True,1731292170.0967739,1731292168.710551,-0.0,0.0,1.3845758438110352
