config_id,status,config.n_layers,config.n_units,config.preprocessor,config.smooth,config.smote,config.ultrasample,config.wfo,metadata.time_end,metadata.time_sampled,result.loss,result.info_dict.test_score,result.info_dict.train_time
22,complete,3.0,4.0,standardize,False,False,False,True,1731292746.37262,1731292743.645757,-0.993912562257886,0.993912562257886,2.724388837814331
27,complete,2.0,6.0,maxabs,False,False,False,True,1731292759.998585,1731292757.421799,-0.993912562257886,0.993912562257886,2.5746660232543945
17,complete,2.0,5.0,minmax,True,False,False,True,1731292719.782676,1731292717.202881,-0.993912562257886,0.993912562257886,2.577831983566284
14,complete,3.0,4.0,maxabs,True,False,False,True,1731292711.643531,1731292708.993887,-0.993912562257886,0.993912562257886,2.6474359035491943
13,complete,3.0,3.0,standardize,False,False,False,True,1731292708.864671,1731292706.212574,-0.993912562257886,0.993912562257886,2.6500229835510254
25,complete,2.0,5.0,standardize,False,False,False,True,1731292754.547421,1731292751.984298,-0.993912562257886,0.993912562257886,2.5608577728271484
16,complete,2.0,4.0,maxabs,False,False,False,True,1731292717.0743308,1731292714.564115,-0.993912562257886,0.993912562257886,2.5080840587615967
18,complete,3.0,2.0,robust,False,False,False,True,1731292722.525913,1731292719.912215,-0.993912562257886,0.993912562257886,2.6114768981933594
23,complete,3.0,4.0,standardize,False,False,False,True,1731292749.163015,1731292746.50676,-0.993912562257886,0.993912562257886,2.65415620803833
12,complete,4.0,3.0,minmax,False,False,False,True,1731292706.087206,1731292703.318825,-0.993912562257886,0.993912562257886,2.766296863555908
15,complete,3.0,4.0,standardize,True,False,False,True,1731292714.437684,1731292711.770899,-0.993912562257886,0.993912562257886,2.6647469997406006
30,complete,2.0,5.0,maxabs,False,False,False,True,1731292768.6086552,1731292766.0630012,-0.993912562257886,0.993912562257886,2.5434508323669434
6,complete,2.0,5.0,normalize,False,False,False,True,1731292691.0964491,1731292688.580819,-0.993912562257886,0.993912562257886,2.514143943786621
29,complete,5.0,4.0,maxabs,False,False,False,True,1731292765.917382,1731292763.0533829,-0.993912562257886,0.993912562257886,2.862028121948242
28,complete,4.0,3.0,maxabs,False,False,False,True,1731292762.908347,1731292760.134848,-0.993912562257886,0.993912562257886,2.771336078643799
24,complete,2.0,5.0,standardize,False,False,False,True,1731292751.850335,1731292749.300265,-0.993912562257886,0.993912562257886,2.5479910373687744
11,complete,3.0,3.0,normalize,True,False,False,True,1731292703.194078,1731292700.538775,-0.993912562257886,0.993912562257886,2.653198003768921
19,complete,3.0,6.0,robust,True,False,False,True,1731292725.3958368,1731292722.659701,-0.9757746478873239,0.9757746478873239,2.7335948944091797
26,complete,2.0,3.0,standardize,False,False,False,True,1731292757.285376,1731292754.684997,-0.8265107212475633,0.8265107212475633,2.5982577800750732
20,complete,3.0,4.0,standardize,False,False,True,True,1731292739.585067,1731292725.538352,-0.02391304347826087,0.02391304347826087,14.044538021087646
21,complete,4.0,5.0,normalize,True,True,False,True,1731292743.511044,1731292739.717838,-0.0,0.0,3.7910380363464355
9,complete,3.0,4.0,normalize,False,True,False,False,1731292695.900494,1731292694.2411032,-0.0,0.0,1.6577258110046387
3,complete,5.0,3.0,normalize,False,False,False,False,1731292685.2884579,1731292683.701592,-0.0,0.0,1.5853493213653564
5,complete,4.0,4.0,standardize,False,True,False,False,1731292688.577803,1731292686.87005,-0.0,0.0,1.706028938293457
4,complete,5.0,3.0,normalize,False,False,False,False,1731292686.865628,1731292685.2915158,-0.0,0.0,1.572627067565918
8,complete,4.0,4.0,maxabs,False,False,False,False,1731292694.237833,1731292692.68572,-0.0,0.0,1.550624132156372
1,complete,3.0,5.0,standardize,False,True,False,False,1731292682.2469802,1731292680.588211,-0.0,0.0,1.6571078300476074
7,complete,5.0,3.0,robust,False,False,False,False,1731292692.681579,1731292691.099802,-0.0,0.0,1.5802628993988037
2,complete,2.0,5.0,normalize,False,False,False,False,1731292683.6983109,1731292682.2499998,-0.0,0.0,1.4468140602111816
10,complete,4.0,2.0,normalize,False,False,True,False,1731292700.415339,1731292695.903818,-0.0,0.0,4.509960889816284
