config_id,status,config.n_layers,config.n_units,config.preprocessor,config.smooth,config.smote,config.ultrasample,config.wfo,metadata.time_end,metadata.time_sampled,result.loss,result.info_dict.test_score,result.info_dict.train_time
10,complete,3.0,3.0,normalize,True,False,False,True,1731292782.090137,1731292780.305912,-0.8526829268292683,0.8526829268292683,1.7827317714691162
29,complete,2.0,4.0,robust,True,False,False,True,1731292825.961236,1731292824.1156921,-0.8526829268292683,0.8526829268292683,1.843428134918213
18,complete,4.0,6.0,normalize,True,False,False,True,1731292796.796882,1731292794.9068868,-0.8526829268292683,0.8526829268292683,1.8878839015960693
17,complete,2.0,4.0,normalize,True,False,False,True,1731292794.7694132,1731292793.035647,-0.8526829268292683,0.8526829268292683,1.731628656387329
14,complete,3.0,4.0,normalize,True,False,False,True,1731292789.432895,1731292787.63602,-0.8526829268292683,0.8526829268292683,1.7943730354309082
13,complete,2.0,5.0,normalize,True,False,False,True,1731292787.505708,1731292785.7173529,-0.8526829268292683,0.8526829268292683,1.7861711978912354
25,complete,5.0,2.0,normalize,True,False,False,True,1731292815.6019819,1731292813.632355,-0.8526829268292683,0.8526829268292683,1.967522144317627
23,complete,4.0,2.0,normalize,True,False,False,True,1731292811.409806,1731292809.518173,-0.8526829268292683,0.8526829268292683,1.8895211219787598
22,complete,2.0,2.0,normalize,True,False,False,True,1731292809.383677,1731292807.6333408,-0.8526829268292683,0.8526829268292683,1.7481858730316162
12,complete,3.0,5.0,normalize,True,False,False,True,1731292785.580917,1731292783.722684,-0.8526829268292683,0.8526829268292683,1.8561668395996094
15,complete,3.0,6.0,normalize,True,False,False,True,1731292791.405795,1731292789.565005,-0.8526829268292683,0.8526829268292683,1.8385460376739502
26,complete,5.0,6.0,normalize,True,False,False,True,1731292817.691593,1731292815.74114,-0.8526829268292683,0.8526829268292683,1.9482192993164062
21,complete,3.0,2.0,normalize,True,False,False,True,1731292807.494282,1731292805.689366,-0.8526829268292683,0.8526829268292683,1.8027617931365967
28,complete,3.0,6.0,normalize,True,False,False,True,1731292823.97579,1731292822.136277,-0.8526829268292683,0.8526829268292683,1.8374061584472656
24,complete,5.0,5.0,normalize,True,False,False,True,1731292813.494638,1731292811.5425842,-0.8526829268292683,0.8526829268292683,1.949958086013794
4,complete,2.0,3.0,minmax,False,True,False,False,1731292773.624298,1731292772.319457,-0.7958950969213227,0.7958950969213227,1.3033618927001953
30,complete,3.0,6.0,robust,True,True,False,True,1731292828.475088,1731292826.111647,-0.7514450867052023,0.7514450867052023,2.3610928058624268
19,complete,3.0,5.0,minmax,False,True,False,True,1731292799.183558,1731292796.932364,-0.7399347116430903,0.7399347116430903,2.2490081787109375
16,complete,3.0,4.0,minmax,True,True,False,False,1731292792.902071,1731292791.538878,-0.6106194690265486,0.6106194690265486,1.361079216003418
27,complete,3.0,5.0,minmax,False,True,True,False,1731292821.999841,1731292817.830126,-0.4629294755877034,0.4629294755877034,4.167623996734619
20,complete,4.0,4.0,normalize,True,False,True,True,1731292805.5562198,1731292799.317416,-0.40866035182679294,0.40866035182679294,6.236638069152832
7,complete,3.0,6.0,normalize,False,True,False,False,1731292777.482599,1731292776.118502,-0.13524590163934427,0.13524590163934427,1.36238694190979
9,complete,2.0,3.0,normalize,False,True,False,False,1731292780.302426,1731292779.0080671,-0.009111617312072893,0.009111617312072893,1.292957067489624
2,complete,4.0,2.0,maxabs,False,False,False,False,1731292771.176648,1731292769.968874,-0.0,0.0,1.2062709331512451
5,complete,3.0,6.0,standardize,False,False,False,False,1731292774.9064589,1731292773.6273742,-0.0,0.0,1.2776069641113281
8,complete,5.0,3.0,minmax,False,True,False,False,1731292779.004918,1731292777.486113,-0.0,0.0,1.5169408321380615
6,complete,4.0,5.0,robust,False,False,False,False,1731292776.115201,1731292774.9098408,-0.0,0.0,1.2038698196411133
1,complete,5.0,2.0,normalize,False,False,False,False,1731292769.965515,1731292768.6630762,-0.0,0.0,1.300534963607788
11,complete,3.0,3.0,minmax,False,False,False,False,1731292783.595459,1731292782.215275,-0.0,0.0,1.3782119750976562
3,complete,2.0,6.0,normalize,False,False,False,False,1731292772.316281,1731292771.1793149,-0.0,0.0,1.1355490684509277
