config_id,status,config.n_layers,config.n_units,config.preprocessor,config.smooth,config.smote,config.ultrasample,config.wfo,metadata.time_end,metadata.time_sampled,result.loss,result.info_dict.test_score,result.info_dict.train_time
12,complete,3.0,6.0,normalize,False,False,False,False,1731297747.340746,1731297745.6093671,-0.4,0.4,1.2768981456756592
1,complete,3.0,5.0,normalize,True,False,False,False,1731297720.742995,1731297718.950024,-0.19999999999999996,0.19999999999999996,1.3621749877929688
18,complete,2.0,5.0,normalize,False,False,False,False,1731297757.2788029,1731297755.5702798,-0.09999999999999998,0.09999999999999998,1.2029640674591064
10,complete,3.0,3.0,normalize,False,False,False,True,1731297744.3526862,1731297742.607599,-0.0,0.0,1.2847118377685547
20,complete,2.0,4.0,normalize,False,False,False,False,1731297761.1717608,1731297759.474725,-0.0,0.0,1.228747844696045
16,complete,4.0,3.0,normalize,False,False,False,False,1731297753.935175,1731297752.775821,-0.0,0.0,0.6740579605102539
29,complete,3.0,5.0,robust,True,True,True,True,1731297798.895759,1731297792.0708532,-0.0,0.0,6.293944835662842
11,complete,3.0,4.0,normalize,True,False,False,False,1731297745.484993,1731297744.4755042,-0.0,0.0,0.5622439384460449
2,complete,2.0,6.0,standardize,False,False,False,False,1731297722.380128,1731297720.745709,-0.0,0.0,1.2045810222625732
19,complete,5.0,4.0,normalize,False,False,False,False,1731297759.347585,1731297757.410021,-0.0,0.0,1.4656519889831543
26,complete,3.0,3.0,normalize,False,False,False,False,1731297782.714541,1731297780.8731232,-0.0,0.0,1.3269720077514648
17,complete,3.0,4.0,standardize,False,True,False,True,1731297755.43919,1731297754.062542,-0.0,0.0,0.9105122089385986
14,complete,3.0,5.0,normalize,False,False,False,False,1731297750.632719,1731297749.330685,-0.0,0.0,0.8147609233856201
25,complete,3.0,5.0,normalize,False,True,True,True,1731297780.732172,1731297773.5188758,-0.0,0.0,6.5816450119018555
28,complete,3.0,4.0,maxabs,True,False,False,True,1731297791.9364212,1731297790.1510541,-0.0,0.0,1.2829797267913818
23,complete,3.0,3.0,maxabs,True,True,True,False,1731297771.35067,1731297764.35452,-0.0,0.0,6.421986103057861
24,complete,3.0,4.0,standardize,True,True,False,False,1731297773.381902,1731297771.490467,-0.0,0.0,1.3910748958587646
15,complete,4.0,6.0,normalize,False,False,False,False,1731297752.64787,1731297750.769654,-0.0,0.0,1.4098591804504395
8,complete,3.0,5.0,robust,False,True,True,False,1731297738.4344902,1731297730.765595,-0.0,0.0,6.836010932922363
30,complete,3.0,4.0,robust,True,False,True,False,1731297801.280874,1731297799.024093,-0.0,0.0,1.6900053024291992
6,complete,3.0,3.0,robust,True,False,False,False,1731297729.515886,1731297728.409023,-0.0,0.0,0.6377878189086914
7,complete,5.0,3.0,normalize,False,False,False,False,1731297730.761627,1731297729.519073,-0.0,0.0,0.7489290237426758
21,complete,2.0,2.0,normalize,False,True,False,False,1731297762.284817,1731297761.302741,-0.0,0.0,0.5095400810241699
27,complete,3.0,5.0,standardize,True,False,True,False,1731297790.020127,1731297782.860904,-0.0,0.0,6.660314083099365
9,complete,4.0,5.0,normalize,False,False,True,False,1731297742.603621,1731297738.439072,0.19999999999999996,-0.19999999999999996,3.6778407096862793
4,complete,2.0,3.0,normalize,False,True,False,False,1731297726.453951,1731297724.460168,0.5,-0.5,1.513423204421997
13,complete,3.0,6.0,normalize,True,False,False,False,1731297749.205867,1731297747.466107,0.5,-0.5,1.283524990081787
22,complete,3.0,4.0,robust,False,False,False,False,1731297764.225549,1731297762.420116,0.5,-0.5,1.3290512561798096
5,complete,2.0,3.0,normalize,False,False,False,False,1731297728.4052072,1731297726.4573991,0.5,-0.5,1.443289041519165
3,complete,5.0,2.0,minmax,False,False,False,False,1731297724.457161,1731297722.383242,0.5,-0.5,1.5946588516235352
