config_id,status,config.n_layers,config.n_units,config.preprocessor,config.smooth,config.smote,config.ultrasample,config.wfo,metadata.time_end,metadata.time_sampled,result.loss,result.info_dict.test_score,result.info_dict.train_time
5,complete,4.0,3.0,normalize,False,True,False,False,1731298295.342557,1731298292.950433,-1.0,1.0,1.4019548892974854
20,complete,3.0,5.0,normalize,False,True,False,False,1731298367.362589,1731298365.710631,-0.33333333333333337,0.33333333333333337,0.6494240760803223
9,complete,3.0,4.0,normalize,False,True,True,False,1731298326.432121,1731298318.658644,-0.0,0.0,6.786595821380615
21,complete,3.0,2.0,normalize,False,True,False,False,1731298369.0956202,1731298367.4911418,-0.0,0.0,0.5503900051116943
26,complete,2.0,3.0,normalize,False,True,False,False,1731298380.39209,1731298378.853489,-0.0,0.0,0.5101127624511719
19,complete,4.0,3.0,robust,False,False,True,True,1731298365.582758,1731298357.469054,-0.0,0.0,7.083641767501831
27,complete,2.0,5.0,standardize,False,False,True,False,1731298388.393554,1731298380.522305,-0.0,0.0,6.862821817398071
18,complete,4.0,3.0,minmax,False,True,False,False,1731298357.335753,1731298355.742835,-0.0,0.0,0.6142191886901855
16,complete,4.0,3.0,minmax,True,False,True,True,1731298354.002456,1731298345.455916,-0.0,0.0,7.274992942810059
29,complete,4.0,3.0,maxabs,True,False,True,False,1731298399.3140118,1731298391.20134,-0.0,0.0,7.037950277328491
2,complete,2.0,3.0,maxabs,False,False,True,False,1731298283.4281878,1731298275.539259,-0.0,0.0,6.974189043045044
4,complete,4.0,3.0,normalize,False,False,False,False,1731298292.9473531,1731298291.110703,-0.0,0.0,0.8810808658599854
17,complete,2.0,2.0,maxabs,False,True,False,False,1731298355.617604,1731298354.136298,-0.0,0.0,0.5014829635620117
3,complete,2.0,4.0,normalize,False,False,True,True,1731298291.107612,1731298283.4312918,-0.0,0.0,6.758728981018066
13,complete,4.0,3.0,standardize,False,True,False,False,1731298341.223691,1731298339.248978,-0.0,0.0,0.9824550151824951
25,complete,5.0,4.0,normalize,False,True,False,False,1731298378.720164,1731298376.661571,-0.0,0.0,0.9613580703735352
22,complete,4.0,4.0,maxabs,False,False,False,True,1731298371.263296,1731298369.227287,-0.0,0.0,1.0389409065246582
24,complete,4.0,5.0,normalize,False,True,False,False,1731298376.530869,1731298374.113179,-0.0,0.0,1.3737390041351318
12,complete,4.0,3.0,normalize,False,True,True,False,1731298339.1256151,1731298331.224066,-0.0,0.0,6.920576095581055
15,complete,5.0,3.0,normalize,False,True,False,False,1731298345.331041,1731298343.64555,-0.0,0.0,0.6948931217193604
8,complete,4.0,6.0,robust,True,False,True,False,1731298318.654903,1731298310.812932,-0.0,0.0,6.850832939147949
30,complete,4.0,3.0,maxabs,False,False,True,True,1731298407.542541,1731298399.449536,-0.0,0.0,7.058722019195557
6,complete,3.0,6.0,normalize,False,False,True,False,1731298302.8690822,1731298295.345998,-0.0,0.0,6.573819875717163
1,complete,2.0,2.0,normalize,False,False,False,True,1731298275.5358279,1731298273.94508,-0.0,0.0,0.6323699951171875
7,complete,3.0,3.0,normalize,False,True,True,False,1731298310.8093262,1731298302.874051,-0.0,0.0,6.972279071807861
14,complete,4.0,3.0,normalize,True,True,False,False,1731298343.5166578,1731298341.347735,-0.0,0.0,1.1429388523101807
10,complete,4.0,3.0,normalize,False,True,False,True,1731298328.8453078,1731298326.4358761,-0.0,0.0,1.4227409362792969
11,complete,3.0,3.0,normalize,False,True,False,False,1731298331.100995,1731298328.978454,0.3333333333333333,-0.3333333333333333,1.1409292221069336
23,complete,5.0,6.0,normalize,False,True,False,False,1731298373.983628,1731298371.393357,0.6666666666666666,-0.6666666666666666,1.5523200035095215
28,complete,4.0,6.0,maxabs,True,False,False,True,1731298391.067925,1731298388.523715,0.6666666666666666,-0.6666666666666666,1.358004093170166
