config_id,status,config.n_layers,config.n_units,config.preprocessor,config.smooth,config.smote,config.ultrasample,config.wfo,metadata.time_end,metadata.time_sampled,result.loss,result.info_dict.test_score,result.info_dict.train_time
20,complete,2.0,2.0,normalize,False,True,False,False,1731298810.925367,1731298808.621836,-1.0,1.0,0.8426229953765869
10,complete,3.0,4.0,normalize,False,True,False,False,1731298779.827241,1731298777.140286,-0.5,0.5,1.3247418403625488
16,complete,3.0,4.0,normalize,False,False,False,True,1731298794.3255491,1731298792.2413251,-0.25,0.25,0.6383919715881348
28,complete,2.0,2.0,standardize,False,False,True,False,1731298855.670068,1731298847.7829492,-0.0,0.0,6.465113162994385
21,complete,2.0,2.0,minmax,False,True,False,False,1731298813.055638,1731298811.0537899,-0.0,0.0,0.46465468406677246
26,complete,2.0,2.0,maxabs,True,False,True,False,1731298844.918751,1731298836.391995,-0.0,0.0,7.066251993179321
19,complete,3.0,4.0,normalize,False,False,True,False,1731298808.495374,1731298799.6754282,-0.0,0.0,7.359170913696289
27,complete,2.0,2.0,maxabs,True,False,False,True,1731298847.6526341,1731298845.0484,-0.0,0.0,1.203787088394165
29,complete,2.0,2.0,normalize,True,True,False,False,1731298858.0909598,1731298855.804718,-0.0,0.0,0.8338561058044434
11,complete,3.0,4.0,normalize,False,True,False,False,1731298782.2615051,1731298779.951924,-0.0,0.0,0.8741118907928467
2,complete,3.0,5.0,normalize,True,False,False,False,1731298748.725193,1731298746.328275,-0.0,0.0,1.0687198638916016
4,complete,4.0,4.0,normalize,False,False,False,False,1731298759.498424,1731298757.331087,-0.0,0.0,0.7967109680175781
17,complete,2.0,4.0,normalize,False,True,False,False,1731298797.1681018,1731298794.451295,-0.0,0.0,1.2511260509490967
9,complete,2.0,5.0,normalize,True,False,False,True,1731298777.1366808,1731298775.074831,-0.0,0.0,0.6326560974121094
13,complete,3.0,4.0,maxabs,True,False,False,False,1731298787.1227021,1731298785.138253,-0.0,0.0,0.5907981395721436
25,complete,2.0,2.0,normalize,False,True,True,False,1731298836.263627,1731298827.548543,-0.0,0.0,7.323904037475586
22,complete,2.0,2.0,robust,False,False,False,True,1731298815.910246,1731298813.1904929,-0.0,0.0,1.260915756225586
23,complete,2.0,2.0,normalize,False,False,True,True,1731298824.9028108,1731298816.037659,-0.0,0.0,7.442017078399658
24,complete,2.0,2.0,maxabs,True,True,False,False,1731298827.417794,1731298825.033133,-0.0,0.0,0.9841017723083496
15,complete,2.0,3.0,normalize,False,True,False,False,1731298792.11049,1731298790.1885922,-0.0,0.0,0.47594308853149414
8,complete,4.0,2.0,minmax,True,False,False,False,1731298775.071297,1731298773.0047219,-0.0,0.0,0.7132747173309326
30,complete,2.0,2.0,robust,False,False,True,False,1731298866.0628889,1731298858.228023,-0.0,0.0,6.407229900360107
6,complete,5.0,6.0,maxabs,False,False,False,False,1731298765.065891,1731298762.2030668,-0.0,0.0,1.441317081451416
1,complete,4.0,4.0,standardize,True,False,False,True,1731298746.3243709,1731298743.599424,-0.0,0.0,1.361259937286377
7,complete,4.0,3.0,normalize,False,False,True,False,1731298773.001247,1731298765.069439,-0.0,0.0,6.566889047622681
14,complete,3.0,3.0,normalize,False,True,False,False,1731298790.0651278,1731298787.246787,-0.0,0.0,1.3694660663604736
3,complete,4.0,4.0,robust,False,False,True,True,1731298757.327788,1731298748.728292,-0.0,0.0,7.259916067123413
5,complete,4.0,5.0,normalize,True,False,False,False,1731298762.2000058,1731298759.501947,0.25,-0.25,1.3480627536773682
12,complete,3.0,2.0,standardize,False,True,False,False,1731298785.01471,1731298782.3853838,0.75,-0.75,1.2667970657348633
18,complete,3.0,6.0,normalize,False,True,False,True,1731298799.543736,1731298797.298329,1.0,-1.0,0.7602920532226562
