config_id,status,config.n_layers,config.n_units,config.preprocessor,config.smooth,config.smote,config.ultrasample,config.wfo,metadata.time_end,metadata.time_sampled,result.loss,result.info_dict.test_score,result.info_dict.train_time
28,complete,4.0,4.0,robust,True,False,False,False,1731300175.611605,1731300173.207042,-0.33333333333333337,0.33333333333333337,1.3570728302001953
1,complete,5.0,3.0,normalize,True,False,False,False,1731300099.017008,1731300096.613991,-0.33333333333333337,0.33333333333333337,1.4582769870758057
19,complete,5.0,4.0,normalize,True,False,False,False,1731300150.572611,1731300148.006239,-0.33333333333333337,0.33333333333333337,1.5112478733062744
14,complete,4.0,4.0,normalize,True,False,False,False,1731300139.252846,1731300137.2197871,-0.33333333333333337,0.33333333333333337,1.0088508129119873
9,complete,3.0,3.0,maxabs,False,False,True,False,1731300128.697093,1731300121.558429,-0.0,0.0,6.158859968185425
21,complete,5.0,4.0,normalize,True,False,False,False,1731300154.994106,1731300152.499637,-0.0,0.0,1.4651572704315186
26,complete,3.0,2.0,normalize,True,False,False,False,1731300171.0410938,1731300168.979723,-0.0,0.0,0.9964649677276611
27,complete,5.0,5.0,normalize,True,False,False,False,1731300173.077676,1731300171.17782,-0.0,0.0,0.8316447734832764
18,complete,3.0,5.0,normalize,True,False,False,False,1731300147.881585,1731300145.85814,-0.0,0.0,1.0046899318695068
20,complete,2.0,3.0,normalize,True,False,False,False,1731300152.3732,1731300150.705996,-0.0,0.0,0.660283088684082
16,complete,4.0,4.0,normalize,True,False,False,True,1731300143.591648,1731300141.200005,-0.0,0.0,1.3770601749420166
29,complete,2.0,4.0,robust,False,False,False,False,1731300178.026026,1731300175.742995,-0.0,0.0,1.2046799659729004
11,complete,3.0,3.0,normalize,True,True,False,False,1731300132.7156868,1731300130.8887858,-0.0,0.0,0.8423941135406494
2,complete,5.0,4.0,normalize,False,True,False,False,1731300101.507762,1731300099.019958,-0.0,0.0,1.5308289527893066
5,complete,3.0,3.0,minmax,True,False,True,False,1731300113.077709,1731300105.259171,-0.0,0.0,6.8031041622161865
3,complete,3.0,2.0,normalize,False,False,False,False,1731300103.115652,1731300101.511062,-0.0,0.0,0.6488208770751953
17,complete,3.0,4.0,minmax,True,False,False,False,1731300145.732949,1731300143.715971,-0.0,0.0,0.9991381168365479
25,complete,4.0,4.0,minmax,True,False,False,False,1731300168.8491352,1731300167.183891,-0.0,0.0,0.6222460269927979
22,complete,2.0,6.0,normalize,True,False,False,False,1731300156.826807,1731300155.121001,-0.0,0.0,0.6830956935882568
23,complete,4.0,6.0,normalize,True,False,False,False,1731300158.853426,1731300156.956296,-0.0,0.0,0.8669600486755371
24,complete,4.0,4.0,minmax,False,False,True,True,1731300167.056499,1731300158.981222,-0.0,0.0,7.028911828994751
12,complete,3.0,3.0,maxabs,True,False,False,False,1731300134.522509,1731300132.837664,-0.0,0.0,0.6966719627380371
15,complete,4.0,3.0,normalize,True,False,False,False,1731300141.0767722,1731300139.376899,-0.0,0.0,0.6334347724914551
8,complete,5.0,2.0,minmax,False,True,False,True,1731300121.555145,1731300119.8604732,-0.0,0.0,0.722161054611206
7,complete,3.0,2.0,minmax,False,False,False,False,1731300119.8569548,1731300117.873078,-0.0,0.0,1.005737066268921
4,complete,4.0,3.0,minmax,False,False,False,False,1731300105.255841,1731300103.118586,-0.0,0.0,1.1484930515289307
10,complete,4.0,4.0,minmax,False,True,False,False,1731300130.765934,1731300128.7006772,-0.0,0.0,1.0450520515441895
13,complete,5.0,3.0,normalize,False,False,False,False,1731300137.097601,1731300134.644562,0.3333333333333333,-0.3333333333333333,1.4606270790100098
30,complete,3.0,4.0,robust,True,False,False,False,1731300180.5156522,1731300178.1558,0.6666666666666666,-0.6666666666666666,1.3096411228179932
6,complete,4.0,5.0,normalize,True,False,True,False,1731300117.8685231,1731300113.081078,1.0,-1.0,3.795443058013916
