config_id,status,config.n_layers,config.n_units,config.preprocessor,config.smooth,config.smote,config.ultrasample,config.wfo,metadata.time_end,metadata.time_sampled,result.loss,result.info_dict.test_score,result.info_dict.train_time
23,complete,4.0,5.0,standardize,True,False,False,False,1731300726.3254158,1731300723.012137,-0.5,0.5,1.535262107849121
9,complete,2.0,6.0,maxabs,True,False,False,False,1731300673.0010262,1731300670.3292239,-0.25,0.25,1.1324548721313477
7,complete,4.0,5.0,normalize,False,True,False,True,1731300661.4369879,1731300658.494356,-0.25,0.25,1.4169931411743164
28,complete,4.0,5.0,minmax,False,True,True,True,1731300747.412086,1731300737.725138,-0.25,0.25,8.076728105545044
27,complete,4.0,5.0,standardize,True,False,False,False,1731300737.585024,1731300734.662938,-0.25,0.25,1.2975728511810303
25,complete,4.0,5.0,maxabs,True,False,False,False,1731300732.144425,1731300729.19978,-0.25,0.25,1.3847148418426514
17,complete,4.0,5.0,maxabs,False,True,False,True,1731300702.135885,1731300699.204138,-0.25,0.25,1.3323869705200195
21,complete,3.0,5.0,maxabs,False,False,False,False,1731300720.1867268,1731300717.1717892,-0.0,0.0,1.3843390941619873
26,complete,4.0,3.0,standardize,True,False,False,False,1731300734.533052,1731300732.274265,-0.0,0.0,0.6777701377868652
18,complete,3.0,4.0,maxabs,True,False,False,False,1731300704.808403,1731300702.2626822,-0.0,0.0,0.9261236190795898
20,complete,4.0,5.0,standardize,False,False,True,False,1731300717.044611,1731300707.965163,-0.0,0.0,7.503370046615601
16,complete,4.0,5.0,robust,True,False,False,False,1731300699.070851,1731300696.144404,-0.0,0.0,1.1331310272216797
29,complete,4.0,5.0,normalize,True,False,True,False,1731300757.1298199,1731300747.566439,-0.0,0.0,7.632262945175171
11,complete,4.0,5.0,normalize,False,True,False,False,1731300678.31932,1731300675.430111,-0.0,0.0,1.3604187965393066
5,complete,4.0,2.0,standardize,False,False,False,False,1731300655.553867,1731300652.6451101,-0.0,0.0,1.4061908721923828
10,complete,5.0,3.0,normalize,False,False,False,False,1731300675.30781,1731300673.004748,-0.0,0.0,0.8054430484771729
14,complete,2.0,5.0,maxabs,True,False,False,False,1731300686.82713,1731300684.1128151,-0.0,0.0,1.2128381729125977
22,complete,4.0,5.0,maxabs,True,True,False,False,1731300722.873942,1731300720.3139079,-0.0,0.0,0.9655301570892334
24,complete,4.0,5.0,maxabs,True,False,False,True,1731300729.060259,1731300726.456943,-0.0,0.0,1.0173351764678955
12,complete,3.0,5.0,normalize,False,True,False,True,1731300680.9609878,1731300678.441101,-0.0,0.0,0.9622719287872314
15,complete,3.0,4.0,maxabs,True,False,True,False,1731300696.01937,1731300686.953372,-0.0,0.0,7.521360874176025
8,complete,4.0,6.0,normalize,False,False,True,False,1731300670.3257658,1731300661.441508,-0.0,0.0,7.396621942520142
30,complete,4.0,5.0,standardize,True,True,True,True,1731300767.161102,1731300757.282816,-0.0,0.0,8.19948697090149
6,complete,4.0,3.0,maxabs,False,False,False,True,1731300658.490247,1731300655.557371,-0.0,0.0,1.3628730773925781
1,complete,3.0,4.0,standardize,False,False,False,False,1731300643.9548259,1731300641.690552,-0.0,0.0,0.7532327175140381
4,complete,5.0,6.0,minmax,False,False,False,False,1731300652.641781,1731300649.554341,-0.0,0.0,1.5730960369110107
13,complete,2.0,6.0,normalize,False,False,False,True,1731300683.989064,1731300681.085919,0.25,-0.25,1.2261278629302979
19,complete,2.0,6.0,normalize,False,True,False,True,1731300707.83394,1731300704.9366012,0.25,-0.25,1.2818901538848877
2,complete,2.0,4.0,standardize,False,False,False,False,1731300646.708931,1731300643.957987,0.5,-0.5,1.25697922706604
3,complete,3.0,6.0,normalize,False,False,False,True,1731300649.551455,1731300646.71212,0.5,-0.5,1.3278682231903076
