config_id,status,config.n_layers,config.n_units,config.preprocessor,config.smooth,config.smote,config.ultrasample,config.wfo,metadata.time_end,metadata.time_sampled,result.loss,result.info_dict.test_score,result.info_dict.train_time
27,complete,2.0,6.0,maxabs,False,True,False,False,1731301257.596211,1731301255.859595,-1.0,1.0,1.2575619220733643
16,complete,3.0,4.0,maxabs,False,True,False,False,1731301238.8009531,1731301237.03356,-1.0,1.0,1.2755298614501953
23,complete,2.0,6.0,maxabs,False,True,False,False,1731301251.8259919,1731301250.1658099,-1.0,1.0,1.2018990516662598
22,complete,4.0,5.0,maxabs,False,True,False,False,1731301250.0418072,1731301248.213068,-1.0,1.0,1.3638169765472412
5,complete,3.0,4.0,standardize,False,True,False,False,1731301224.214263,1731301222.453347,-1.0,1.0,1.288280725479126
9,complete,4.0,5.0,standardize,True,False,False,True,1731301228.543554,1731301228.096946,-0.0,0.0,0.0001919269561767578
28,complete,2.0,6.0,normalize,False,False,False,True,1731301259.4980228,1731301257.723566,-0.0,0.0,1.252493143081665
21,complete,3.0,4.0,standardize,True,True,False,False,1731301248.097196,1731301247.634372,-0.0,0.0,0.0002067089080810547
26,complete,3.0,4.0,maxabs,True,False,False,True,1731301255.724737,1731301255.257321,-0.0,0.0,0.00020599365234375
19,complete,3.0,5.0,standardize,False,True,False,False,1731301244.4054358,1731301242.629932,-0.0,0.0,1.3259210586547852
18,complete,3.0,4.0,standardize,False,True,False,True,1731301242.508996,1731301240.7762089,-0.0,0.0,1.288761854171753
20,complete,3.0,4.0,normalize,False,False,True,True,1731301247.509876,1731301244.5306618,-0.0,0.0,2.5233640670776367
29,complete,3.0,4.0,maxabs,False,True,True,False,1731301263.027803,1731301259.6232588,-0.0,0.0,2.923788070678711
11,complete,2.0,4.0,standardize,False,True,True,False,1731301231.685065,1731301229.185036,-0.0,0.0,2.072272300720215
2,complete,3.0,4.0,normalize,True,False,False,False,1731301220.687407,1731301220.2705688,-0.0,0.0,0.00018286705017089844
3,complete,2.0,4.0,maxabs,False,False,False,False,1731301221.565612,1731301220.6904619,-0.0,0.0,0.46491384506225586
17,complete,3.0,4.0,normalize,False,True,False,False,1731301240.655205,1731301238.9273658,-0.0,0.0,1.2821319103240967
14,complete,4.0,4.0,standardize,False,True,False,False,1731301235.7937732,1731301234.6852648,-0.0,0.0,0.6633999347686768
13,complete,3.0,3.0,standardize,False,True,False,False,1731301234.562517,1731301233.545474,-0.0,0.0,0.5451128482818604
24,complete,5.0,6.0,maxabs,False,True,False,False,1731301253.885519,1731301251.950942,-0.0,0.0,1.453481912612915
12,complete,2.0,3.0,robust,False,True,False,False,1731301233.427422,1731301231.804469,-0.0,0.0,1.1939871311187744
15,complete,3.0,4.0,standardize,False,False,False,False,1731301236.9113338,1731301235.915328,-0.0,0.0,0.5481350421905518
8,complete,3.0,2.0,normalize,False,False,False,False,1731301228.093659,1731301227.132193,-0.0,0.0,0.5300662517547607
30,complete,3.0,4.0,standardize,True,False,True,True,1731301263.673679,1731301263.153951,-0.0,0.0,0.00020194053649902344
6,complete,3.0,5.0,normalize,False,False,False,True,1731301226.063112,1731301224.2175639,-0.0,0.0,1.4015278816223145
1,complete,5.0,4.0,normalize,False,False,False,False,1731301220.267366,1731301218.24224,-0.0,0.0,1.597412109375
7,complete,4.0,2.0,minmax,False,False,False,False,1731301227.128631,1731301226.066669,-0.0,0.0,0.6128971576690674
4,complete,2.0,4.0,normalize,False,False,False,False,1731301222.450319,1731301221.568558,-0.0,0.0,0.4585111141204834
10,complete,4.0,6.0,normalize,True,False,True,False,1731301229.06763,1731301228.547363,-0.0,0.0,0.00018787384033203125
25,complete,4.0,5.0,maxabs,False,True,False,False,1731301255.130508,1731301254.0127318,1.0,-1.0,0.6285467147827148
