config_id,status,config.n_layers,config.n_units,config.preprocessor,config.smooth,config.smote,config.ultrasample,config.wfo,metadata.time_end,metadata.time_sampled,result.loss,result.info_dict.test_score,result.info_dict.train_time
7,complete,5.0,4.0,robust,False,False,False,False,1731301674.8867369,1731301672.3665862,-0.13354037267080743,0.13354037267080743,1.6006367206573486
16,complete,2.0,3.0,robust,True,False,False,False,1731301699.8028858,1731301697.567245,-0.05900621118012428,0.05900621118012428,1.252223014831543
18,complete,2.0,5.0,normalize,True,True,False,False,1731301704.735422,1731301702.4740999,-0.04347826086956519,0.04347826086956519,1.2470099925994873
19,complete,4.0,3.0,normalize,False,True,False,False,1731301707.274854,1731301704.87185,-0.04347826086956519,0.04347826086956519,1.4597489833831787
10,complete,2.0,4.0,minmax,False,False,False,False,1731301681.343074,1731301679.124437,-0.006211180124223614,0.006211180124223614,1.3089509010314941
8,complete,3.0,2.0,maxabs,False,True,False,False,1731301676.8402188,1731301674.890662,-0.0,0.0,1.0427091121673584
1,complete,5.0,2.0,standardize,False,False,False,False,1731301660.561266,1731301658.917144,-0.0,0.0,0.7569079399108887
29,complete,2.0,3.0,normalize,True,True,True,True,1731301745.583248,1731301736.9637408,-0.0,0.0,7.627877950668335
27,complete,3.0,4.0,robust,True,False,False,False,1731301735.1289752,1731301733.253632,-0.0,0.0,0.8858530521392822
2,complete,4.0,5.0,normalize,True,True,False,True,1731301663.122907,1731301660.564353,-0.0,0.0,1.6428930759429932
5,complete,5.0,4.0,normalize,False,False,False,False,1731301669.8711748,1731301667.3243341,-0.0,0.0,1.5839080810546875
4,complete,4.0,2.0,normalize,False,True,False,False,1731301667.314419,1731301665.5194721,-0.0,0.0,0.8811647891998291
28,complete,2.0,2.0,normalize,True,True,False,False,1731301736.833926,1731301735.257601,-0.0,0.0,0.5975630283355713
14,complete,5.0,4.0,normalize,False,True,False,True,1731301695.627021,1731301692.765265,-0.0,0.0,1.902513027191162
13,complete,5.0,4.0,robust,False,False,True,False,1731301692.645268,1731301686.259061,-0.0,0.0,5.457235097885132
20,complete,2.0,3.0,minmax,True,True,True,False,1731301716.22208,1731301707.397758,-0.0,0.0,7.867518901824951
22,complete,3.0,3.0,robust,False,False,False,False,1731301720.380457,1731301718.840636,-0.0,0.0,0.5877361297607422
23,complete,4.0,5.0,normalize,False,True,True,False,1731301726.719574,1731301720.5063748,-0.0,0.0,5.2109761238098145
26,complete,3.0,6.0,robust,False,False,False,False,1731301733.12853,1731301730.9482298,-0.0,0.0,1.1869029998779297
15,complete,5.0,4.0,robust,False,False,False,False,1731301697.4470341,1731301695.746349,-0.0,0.0,0.7692041397094727
30,complete,5.0,5.0,normalize,False,True,False,False,1731301748.135221,1731301745.709732,-0.0,0.0,1.3909919261932373
25,complete,2.0,3.0,standardize,True,True,False,False,1731301730.814483,1731301729.23741,-0.0,0.0,0.5526981353759766
12,complete,4.0,4.0,robust,False,False,False,False,1731301686.140875,1731301683.7575219,0.009316770186335366,-0.009316770186335366,1.456691026687622
9,complete,3.0,5.0,maxabs,True,True,False,False,1731301679.120856,1731301676.844309,0.015527950310559008,-0.015527950310559008,1.3567919731140137
11,complete,2.0,4.0,robust,False,True,False,False,1731301683.6389692,1731301681.460511,0.015527950310559008,-0.015527950310559008,1.2515063285827637
24,complete,2.0,6.0,normalize,True,True,False,False,1731301729.110461,1731301726.8550148,0.021739130434782594,-0.021739130434782594,1.2912771701812744
21,complete,4.0,6.0,normalize,False,True,False,False,1731301718.716324,1731301716.348052,0.02795031055900621,-0.02795031055900621,1.4150028228759766
3,complete,4.0,2.0,minmax,False,False,False,False,1731301665.516482,1731301663.126283,0.05590062111801242,-0.05590062111801242,1.4455490112304688
6,complete,5.0,6.0,standardize,False,False,False,False,1731301672.3629818,1731301669.874453,0.0714285714285714,-0.0714285714285714,1.5423829555511475
17,complete,2.0,4.0,robust,True,False,False,True,1731301702.348897,1731301699.9295301,0.08385093167701863,-0.08385093167701863,1.46785306930542
